Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,NCSOS AdjEM
1,North Carolina 1,ACC,33-4,32.17,118.7,86.5,76.1,0.011,11.38,105.3,93.9,5.89
2,Illinois 1,B10,37-2,31.99,118.6,86.6,66.4,-0.007,8.05,103.8,95.8,2.51
3,Duke 1,ACC,27-6,26.79,111.8,85,71.1,-0.002,11.44,106.4,95,4.02
4,Louisville 4,CUSA,33-5,25.23,114.9,89.7,69.3,0.046,7.24,103.3,96.1,2.19
5,Michigan St. 5,B10,26-7,25.22,116.1,90.8,69,-0.012,8.33,104,95.6,0.29
6,Oklahoma St. 2,B12,26-7,24.47,117.4,92.9,68.8,-0.015,10.05,104.9,94.8,6.18
7,Wake Forest 2,ACC,27-6,24.35,120.2,95.9,71.7,0.046,10.94,105,94.1,6.33
8,Villanova 5,BE,24-8,24.28,110.2,85.9,69.7,-0.054,10.07,104.8,94.8,2.68
9,Kentucky 2,SEC,28-6,23.65,109.6,85.9,68.6,0.031,9.34,105,95.6,1.23
10,Florida 4,SEC,24-8,23.31,111.9,88.6,68.3,-0.027,8.06,103.8,95.8,-0.8
11,Kansas 3,B12,23-7,22.61,111.9,89.3,68.9,0.009,11.69,105.4,93.7,13.9
12,Oklahoma 3,B12,25-8,22.01,110.6,88.5,68.4,-0.005,8.35,104.5,96.1,2.61
13,Arizona 3,P10,30-7,21.79,112.6,90.8,71.3,0.027,8.5,104.8,96.3,5.41
14,Washington 1,P10,29-6,21.78,116.9,95.1,74.2,0.061,8.68,104.2,95.5,7.81
15,Connecticut 2,BE,23-8,21.39,107.5,86.2,73.2,-0.031,9.23,105.4,96.1,2.38
16,Syracuse 4,BE,27-7,20.44,110.9,90.5,69.1,0.003,7.77,104.1,96.3,-0.44
17,Wisconsin 6,B10,25-9,20.41,108.2,87.8,65.2,0.043,10.78,105.6,94.8,3.47
18,Alabama 5,SEC,24-8,20.07,114.5,94.4,66,0.033,7.32,103.4,96.1,1.31
19,Cincinnati 7,CUSA,25-8,19.9,108,88.1,71,-0.005,6.71,103.4,96.7,4.24
20,Utah 6,MWC,29-6,19.87,109.2,89.3,61.9,0.033,4.3,103,98.7,-1.29
21,Utah St. 14,BW,24-8,19.27,112,92.8,63.7,-0.094,-1.72,98.6,100.3,-2.26
22,Georgia Tech 5,ACC,20-12,18.87,104.9,86.1,71.8,-0.037,11.31,105.8,94.5,-1.37
23,North Carolina St. 10,ACC,21-14,18.48,110.9,92.4,66.8,-0.061,10.45,105.2,94.8,-0.99
24,Pittsburgh 9,BE,20-9,17.98,110.6,92.6,67,-0.057,7.09,103.6,96.5,-5.66
25,Boston College 4,BE,25-5,17.83,109.9,92.1,68.1,0.08,7.76,103,95.3,-0.24
26,Gonzaga 3,WCC,26-5,17.54,115.7,98.1,69.4,0.013,3.94,100.9,97,3.96
27,Iowa 10,B10,21-12,16.84,107.9,91,70.4,-0.034,10.31,104.5,94.2,6.26
28,Texas 8,B12,20-11,16.47,109,92.6,70.1,-0.051,7.56,104.2,96.7,0.78
29,Southern Illinois 7,MVC,27-8,16.3,104.8,88.5,66.3,0.016,5.84,103.3,97.4,3.96
30,Ohio St.,B10,20-12,15.47,106.3,90.8,67.8,-0.066,6.58,103.1,96.5,-0.45
31,New Mexico 12,MWC,26-7,15.15,108.7,93.6,68.2,-0.001,0.65,100.6,99.9,-7.58
32,Texas Tech 6,B12,22-11,15.1,106,90.9,71.8,0.038,9.23,105.8,96.6,-0.9
33,Vanderbilt,SEC,20-14,15.05,107.3,92.2,68.4,-0.053,7.9,103.7,95.8,3.68
34,Mississippi St. 9,SEC,23-11,14.83,105.3,90.5,70.3,0.041,6.68,103.6,96.9,-0.65
35,West Virginia 7,BE,24-11,14.65,110.3,95.7,66.4,0.081,9.26,105.2,95.9,-4.88
36,Milwaukee 12,Horz,26-6,14.38,105.9,91.5,70.6,0.079,1.57,100.8,99.2,3.76
37,Maryland,ACC,19-13,14.37,105.3,90.9,77.7,-0.034,9.14,104.6,95.5,-1.82
38,George Washington 12,A10,22-8,14.09,106.2,92.2,73,-0.013,0.54,100.2,99.7,0.58
39,Creighton 10,MVC,23-11,13.95,110.1,96.1,66.2,-0.033,4.8,101.9,97,0.15
40,Pacific 8,BW,27-4,13.8,110.6,96.8,66.3,0.092,0.48,99.9,99.5,1.51
41,Minnesota 8,B10,21-11,13.78,100.4,86.6,69.3,0.016,7.43,103.4,96,-0.13
42,LSU 6,SEC,20-10,13.44,110.3,96.9,69.1,0.071,8.27,104.2,95.9,3.33
43,Vermont 13,AE,25-7,13.26,107.6,94.3,67.3,0.032,-2.06,97.2,99.3,3.11
44,Texas A&M,B12,21-10,13.2,108.7,95.5,67.4,0.006,5.44,102.3,96.9,-11.6
