Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,SOS OppO,SOS OppD,NCSOS AdjEM
1,Duke 1,ACC,35-5,32.53,117,84.5,67.4,0.009,11.83,104.7,92.9,5.47
2,Kansas 1,B12,33-3,31.23,116.8,85.6,70.1,0.038,10.47,105.2,94.8,3.98
3,Syracuse 1,BE,30-5,26.96,114.5,87.5,71.8,-0.007,9.74,105.6,95.8,1.44
4,Kentucky 1,SEC,35-3,25.93,110.9,85,71.5,0.06,8.23,103.7,95.5,2.1
5,Kansas St. 2,B12,29-8,24.9,111.9,87,73,-0.007,12.33,106.3,94,4.73
6,West Virginia 2,BE,31-7,24.88,113.1,88.2,66.1,0.058,12.55,106.5,94,6.54
7,Ohio St. 2,B10,29-8,24.47,113.6,89.1,67.2,0.008,8.64,103.3,94.7,1.2
8,Baylor 3,B12,28-8,24.36,115.2,90.8,68,-0.02,10.63,105,94.4,-0.72
9,Wisconsin 4,B10,24-9,23.11,111.7,88.6,61.8,-0.011,9.53,104.8,95.3,4.19
10,BYU 7,MWC,30-6,22.67,113.3,90.6,73.9,0.012,3.83,101.6,97.7,0.64
11,Georgetown 3,BE,23-11,22.05,112.8,90.7,68.8,-0.035,12.21,105.9,93.7,5.76
12,Butler 5,Horz,33-5,21.93,107.2,85.3,66.1,0.033,6.09,102.9,96.8,10.61
13,Maryland 4,ACC,24-9,21.78,113.7,91.9,72.1,-0.022,9.61,103.7,94.1,-1.69
14,California 8,P10,24-11,21.57,115.6,94,69.9,-0.042,9.23,103.3,94.1,10.2
15,Purdue 4,B10,29-6,21.51,105.3,83.8,69.4,0.07,9.47,104.7,95.2,1.43
16,Texas A&M 5,B12,24-10,20.89,108,87.1,67.7,-0.005,11.73,106.2,94.5,2.67
17,Villanova 2,BE,25-8,20.67,112.8,92.2,74.2,0.025,10.31,105.4,95.1,1.04
18,Xavier 6,A10,26-9,20.49,111.4,90.9,71.6,0.01,8.31,103,94.7,8.36
19,Texas 8,B12,24-10,20.42,110.1,89.7,74.7,-0.015,9.62,104.2,94.6,0.86
20,Michigan St. 5,B10,28-9,19.69,108.7,89,68.2,0.028,9.39,104.3,94.9,1.47
21,Temple 5,A10,29-6,19.6,104.1,84.5,63.6,0.077,6.13,102.9,96.8,6
22,Utah St. 12,WAC,27-8,19.59,112.3,92.7,63.3,-0.026,2.22,101.9,99.7,1.42
23,Missouri 10,B12,23-11,19.54,107.7,88.1,71.7,-0.035,8.77,104,95.2,-2.61
24,Marquette 6,BE,22-12,19.27,111.4,92.1,65.5,-0.064,9.46,104.7,95.3,-2.17
25,Clemson 7,ACC,21-11,18.91,106.9,88,71.1,-0.041,9.56,103.3,93.8,-1.01
26,Dayton,A10,25-12,18.56,104.5,85.9,69,-0.097,7.05,102.7,95.6,5.31
27,Northern Iowa 9,MVC,30-5,18.45,105.8,87.4,61.8,0.034,4.38,102.5,98.2,-0.16
28,Pittsburgh 3,BE,25-9,18.26,107.5,89.3,64.7,0.042,9.26,105,95.7,1.58
29,Saint Mary's 10,WCC,28-6,18.2,112.9,94.7,68.5,0.038,3.14,102.3,99.1,2.54
30,Tennessee 6,SEC,28-9,18.13,105.6,87.5,70.4,0.082,9.1,104,94.9,1.8
31,Georgia Tech 10,ACC,23-13,17.85,105.5,87.6,71.4,-0.034,11.13,104.1,93,-1.02
32,Washington 11,P10,26-10,17.75,107.8,90.1,74.4,0.028,7.98,103.9,95.9,5.11
33,Florida St. 9,ACC,22-10,17.65,101,83.3,68.5,0.009,9.56,104.2,94.6,-0.5
34,Minnesota 11,B10,21-14,17.62,108,90.4,68.3,-0.056,9.01,104.5,95.5,0.26
35,Notre Dame 6,BE,23-12,17.3,115,97.7,65.2,-0.067,7.85,103.9,96,-3.62
36,Vanderbilt 4,SEC,24-9,17.2,109.6,92.4,71.9,0.019,9.12,104.2,95.1,4.45
37,Old Dominion 11,CAA,27-9,17.1,104.3,87.2,65,0.011,3.29,101.7,98.4,6.68
38,Louisville 9,BE,20-13,16.54,111.2,94.7,69.3,-0.038,10.02,105,95,2.61
39,Oklahoma St. 7,B12,22-11,16.44,109.4,92.9,69,0.011,8.94,104,95,-1.73
40,UTEP 12,CUSA,26-7,16.21,104.2,88,71,0.024,3.1,101,97.9,-1.61
41,San Diego St. 11,MWC,25-9,16.14,107.3,91.1,66.2,0.006,4.53,101.6,97.1,1.07
42,UNLV 8,MWC,25-9,16.05,106.7,90.6,69.3,-0.012,5.05,101.9,96.9,1.85
43,New Mexico 3,MWC,30-5,15.8,109.8,94,70.1,0.096,4.82,102,97.2,3.68
44,Gonzaga 8,WCC,27-7,15.78,108.3,92.5,70.6,0.079,4.04,102.5,98.5,6.08
45,Cornell 12,Ivy,29-5,15.63,113.4,97.7,66.7,0.067,-1.97,97.2,99.2,1.56
46,Mississippi St.,SEC,24-12,15.61,105.9,90.3,69.5,-0.049,5.88,102.3,96.4,-1.39
47,Virginia Tech,ACC,25-9,15.47,104.6,89.1,70.6,0.034,6.49,102.9,96.4,-6.49
48,Mississippi,SEC,24-11,15.38,108.6,93.2,72.3,-0.033,6.98,102.9,95.9,0.19
49,Memphis,CUSA,24-10,14.91,111.3,96.4,68.5,-0.038,3.36,101.1,97.7,-0.86
50,Florida 10,SEC,21-13,14.89,108.5,93.6,67.9,-0.061,8.33,103.4,95.1,0.4
51,Connecticut,BE,18-16,14.86,103.7,88.8,70.5,-0.077,11.14,105.5,94.4,6.22
52,Richmond 7,A10,26-9,14.78,105.3,90.5,65.8,0.047,5.37,101.9,96.5,2.45
53,Arizona St.,P10,22-11,14.77,106.3,91.5,63.8,-0.013,5.81,101.6,95.8,1.83
54,Murray St. 13,OVC,31-5,14.58,104.9,90.4,68.8,-0.011,-5.92,96.8,102.7,-6.31
55,Miami FL,ACC,20-13,14.56,108.4,93.8,68.5,-0.07,6.7,101.3,94.6,-9.14
56,VCU,CAA,27-9,14.16,109.9,95.7,70.2,-0.016,1.71,99.5,97.8,1.52
57,Illinois,B10,21-15,14.06,105.3,91.2,69.3,-0.029,9.86,104.4,94.6,4.43
58,Wake Forest 9,ACC,20-11,13.9,104,90.1,71.5,0.068,10.87,104.2,93.4,0.56
59,Siena 13,MAAC,27-7,13.61,105.9,92.3,71.7,0.027,0.33,97.8,97.5,3.71
60,Rhode Island,A10,26-10,13.22,108.8,95.6,70.7,0.034,5.28,101.8,96.5,3.22
61,North Carolina,ACC,20-17,13.15,104,90.9,73.5,-0.013,11.71,105.2,93.5,3.09
62,UAB,CUSA,25-9,12.47,100.8,88.3,66.6,0.017,3.9,100.9,97,1.1
63,Alabama,SEC,17-15,12.2,104,91.8,67.5,-0.098,8.02,103.7,95.6,2.87
64,Wichita St.,MVC,25-10,11.98,105,93,67.1,0.005,2.73,101.3,98.5,-4.6
65,Wright St.,Horz,20-12,11.82,105,93.2,64.8,-0.046,1.32,100.4,99.1,0.98
66,Seton Hall,BE,19-13,11.82,108.7,96.8,73,-0.008,8.37,104.5,96.1,-5.94
67,St. John's,BE,17-16,11.67,102.7,91,67,-0.032,10.25,105.5,95.2,1.69
68,Cincinnati,BE,19-16,11.66,102.7,91,68.2,-0.013,10.32,105.2,94.9,1.71
69,North Carolina St.,ACC,20-16,11.28,102.4,91.1,67.6,-0.007,8.74,103,94.3,-2.77
70,Michigan,B10,15-17,11.23,103.6,92.4,64.2,-0.079,9.82,104.6,94.7,4.83
71,Northeastern,CAA,20-13,11.18,102.5,91.4,63.6,-0.058,3.61,101.5,97.9,7.59
72,Texas Tech,B12,19-16,10.86,104.4,93.6,74.2,0.027,10.25,105.7,95.4,0.32
73,Iowa St.,B12,15-17,10.84,103.4,92.6,70.6,-0.08,10.23,105.8,95.6,-0.64
74,Missouri St.,MVC,24-12,10.64,108.2,97.5,67.1,-0.049,2.34,100.6,98.2,-2.57
75,Boston College,ACC,15-16,10.57,106.9,96.3,67.2,-0.085,9.09,102.7,93.6,-2.29
76,Virginia,ACC,15-16,10.48,104,93.6,64.9,-0.067,9.15,103.4,94.2,-1.93
77,USC,P10,16-14,10.38,93.2,82.8,65.2,-0.044,7.18,103.6,96.5,4.26
78,South Florida,BE,20-13,10.23,104.1,93.8,66.5,0.062,8.37,104.5,96.1,-0.29
79,Portland,WCC,21-11,10.17,107,96.8,66.1,0.02,2.19,101.6,99.4,3.7
80,Nevada,WAC,21-13,9.98,109,99,72,-0.03,4.3,103.5,99.2,5.82
81,Marshall,CUSA,24-10,9.96,106.4,96.4,71.4,0.023,2.28,100.4,98.1,0.19
82,Wofford 13,SC,26-9,9.9,101.1,91.2,66.8,-0.022,-2.33,98.4,100.7,1.72
83,Tulsa,CUSA,23-12,9.67,103.6,93.9,69.2,0.023,3.89,101.8,97.9,1.06
84,Northwestern,B10,20-14,9.5,108.5,99,65.9,0.002,6.16,101.8,95.7,-4.85
85,South Carolina,SEC,15-16,8.84,102.3,93.5,72,-0.036,9.33,104.3,95,3.62
86,Kent St.,MAC,24-10,8.7,103.2,94.5,69.3,0.071,2.16,100.1,97.9,3.95
87,Houston 13,CUSA,19-16,8.63,108.2,99.5,73.6,-0.083,4.17,101.7,97.6,1.89
88,Arizona,P10,16-15,8.57,104.5,96,70.4,0.026,8.73,104,95.3,8.82
89,Illinois St.,MVC,22-11,8.55,103.7,95.2,67.6,0.024,1.82,100.1,98.3,-6.12
90,Georgia,SEC,14-17,8.53,105.8,97.2,67.8,-0.023,9.59,103.5,93.9,3.97
91,Providence,BE,12-19,8.46,111.8,103.4,76.2,-0.111,9.6,104.9,95.3,-0.02
92,Colorado,B12,15-16,8.45,110,101.5,69.7,-0.037,9.54,103.7,94.2,-1.88
93,Nebraska,B12,15-18,8.08,103.1,95.1,66,-0.067,8.54,103.2,94.6,-5.27
