Id,Pred
2004_1102_1104,-1
2004_1102_1106,-1
2004_1102_1112,-1
2004_1102_1130,-1
2004_1102_1140,-1
2004_1102_1150,-1
2004_1102_1153,-1
2004_1102_1163,-1
2004_1102_1173,-1
2004_1102_1177,-1
2004_1102_1181,-1
2004_1102_1186,-1
2004_1102_1190,-1
2004_1102_1196,-1
2004_1102_1197,-1
2004_1102_1210,-1
2004_1102_1211,-1
2004_1102_1227,-1
2004_1102_1228,-1
2004_1102_1242,-1
2004_1102_1246,-1
2004_1102_1250,-1
2004_1102_1251,-1
2004_1102_1257,-1
2004_1102_1264,-1
2004_1102_1268,-1
2004_1102_1272,-1
2004_1102_1277,-1
2004_1102_1280,-1
2004_1102_1284,-1
2004_1102_1293,-1
2004_1102_1301,-1
2004_1102_1305,-1
2004_1102_1314,0
2004_1102_1320,-1
2004_1102_1329,-1
2004_1102_1334,-1
2004_1102_1338,-1
2004_1102_1343,-1
2004_1102_1344,-1
2004_1102_1350,-1
2004_1102_1356,-1
2004_1102_1371,-1
2004_1102_1376,-1
2004_1102_1386,-1
2004_1102_1390,-1
2004_1102_1393,-1
2004_1102_1400,-1
2004_1102_1403,-1
2004_1102_1412,-1
2004_1102_1416,-1
2004_1102_1418,-1
2004_1102_1427,-1
2004_1102_1428,-1
2004_1102_1431,-1
2004_1102_1433,-1
2004_1102_1434,-1
2004_1102_1435,-1
2004_1102_1436,-1
2004_1102_1444,-1
2004_1102_1448,-1
2004_1102_1449,-1
2004_1102_1458,-1
2004_1102_1462,-1
2004_1104_1106,-1
2004_1104_1112,-1
2004_1104_1130,-1
2004_1104_1140,-1
2004_1104_1150,-1
2004_1104_1153,-1
2004_1104_1163,0
2004_1104_1173,-1
2004_1104_1177,-1
2004_1104_1181,-1
2004_1104_1186,-1
2004_1104_1190,-1
2004_1104_1196,-1
2004_1104_1197,-1
2004_1104_1210,-1
2004_1104_1211,-1
2004_1104_1227,-1
2004_1104_1228,-1
2004_1104_1242,-1
2004_1104_1246,-1
2004_1104_1250,-1
2004_1104_1251,-1
2004_1104_1257,-1
2004_1104_1264,-1
2004_1104_1268,-1
2004_1104_1272,-1
2004_1104_1277,-1
2004_1104_1280,-1
2004_1104_1284,-1
2004_1104_1293,-1
2004_1104_1301,-1
2004_1104_1305,-1
2004_1104_1314,-1
2004_1104_1320,-1
2004_1104_1329,-1
2004_1104_1334,-1
2004_1104_1338,-1
