Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,SOS OppO,SOS OppD,NCSOS AdjEM,Season,Team_Id,Team_Name
1.0,Duke,ACC,31-4,34.14,118.9,84.7,75.9,-0.027,10.09,107.8,97.7,7.52,2002.0,1181,Duke
2.0,Cincinnati,CUSA,31-4,30.15,116.0,85.9,68.6,0.002,7.45,105.2,97.8,5.41,2002.0,1153,Cincinnati
3.0,Maryland,ACC,32-4,29.24,117.2,88.0,74.7,0.025,10.32,107.9,97.6,5.12,2002.0,1268,Maryland
4.0,Kansas,B12,31-4,28.95,116.7,87.8,78.4,0.023,10.75,108.8,98.1,8.91,2002.0,1242,Kansas
7.0,Florida,SEC,22-9,24.75,113.0,88.3,70.9,-0.072,10.06,107.0,97.0,2.18,2002.0,1196,Florida
9.0,Oregon,P10,25-9,22.93,117.2,94.3,73.2,-0.041,8.62,106.8,98.1,-1.18,2002.0,1332,Oregon
10.0,Kentucky,SEC,21-10,22.21,111.4,89.2,69.8,-0.028,13.79,109.0,95.3,9.87,2002.0,1246,Kentucky
11.0,Marquette,CUSA,26-7,21.42,111.3,89.8,66.4,0.007,5.99,104.3,98.3,0.05,2002.0,1266,Marquette
12.0,USC,P10,22-10,20.66,110.7,90.0,71.8,-0.051,9.66,107.9,98.2,1.89,2002.0,1425,USC
13.0,Arizona,P10,24-10,20.52,117.2,96.7,73.0,0.08,14.48,109.9,95.4,18.68,2002.0,1112,Arizona
14.0,Kent,MAC,29-6,20.42,114.8,94.3,66.0,0.008,2.71,104.3,101.6,1.41,2002.0,1245,Kent
19.0,Notre Dame,BE,21-11,19.24,114.0,94.8,70.2,-0.086,7.02,103.7,96.7,-1.69,2002.0,1323,Notre Dame
20.0,South Carolina,SEC,21-15,19.16,105.1,85.9,67.0,-0.073,11.26,107.4,96.2,2.02,2002.0,1376,South Carolina
23.0,Xavier,A10,26-6,18.59,109.1,90.5,67.7,0.052,5.05,105.1,100.1,5.44,2002.0,1462,Xavier
