Teams 2017,PCBR
ETSU,East Tennessee St.
FL Gulf Coast,Florida Gulf Coast
Florida St,Florida St.
Iowa St,Iowa St.
Jacksonville St,Jacksonville St.
Kansas St,Kansas St.
Kent,Kent St.
Michigan St,Michigan St.
Mt St Mary's,Mount St. Mary's
MTSU,Middle Tennessee
N Kentucky,Northern Kentucky
NC Central,North Carolina Central
New Mexico St,New Mexico St.
North Dakota,North Dakota
Oklahoma St,Oklahoma St.
S Dakota St,South Dakota St.
St Mary's CA,William & Mary
Troy,Troy
TX Southern,Texas Southern
UC Davis,UC Davis
VA Commonwealth,VCU
Wichita St,Wichita St.
New Orleans,New Orleans
