Id,Pred
2010_1115_1124,0.5
2010_1115_1139,0.5
2010_1115_1140,0.5
2010_1115_1143,0.5
2010_1115_1155,0.5
2010_1115_1165,0.5
2010_1115_1181,0.5
2010_1115_1190,0.5
2010_1115_1196,0.5
2010_1115_1199,0.5
2010_1115_1207,0.5
2010_1115_1210,0.5
2010_1115_1211,0.5
2010_1115_1222,0.5
2010_1115_1242,0.5
2010_1115_1243,0.5
2010_1115_1246,0.5
2010_1115_1250,0.5
2010_1115_1257,0.5
2010_1115_1266,0.5
2010_1115_1268,0.5
2010_1115_1277,0.5
2010_1115_1278,0.5
2010_1115_1281,0.5
2010_1115_1285,0.5
2010_1115_1288,0.5
2010_1115_1293,0.5
2010_1115_1307,0.5
2010_1115_1308,0.5
2010_1115_1317,0.5
2010_1115_1320,0.5
2010_1115_1323,0.5
2010_1115_1324,0.5
2010_1115_1325,0.5
2010_1115_1326,0.5
2010_1115_1329,0.5
2010_1115_1330,0.5
2010_1115_1338,0.5
2010_1115_1345,0.5
2010_1115_1350,0.5
2010_1115_1352,0.5
2010_1115_1358,0.5
2010_1115_1361,0.5
2010_1115_1364,0.5
2010_1115_1373,0.5
2010_1115_1388,0.5
2010_1115_1393,0.5
2010_1115_1396,0.5
2010_1115_1397,0.5
2010_1115_1400,0.5
2010_1115_1401,0.5
2010_1115_1424,0.5
2010_1115_1429,0.5
2010_1115_1431,0.5
2010_1115_1435,0.5
2010_1115_1436,0.5
2010_1115_1437,0.5
2010_1115_1448,0.5
2010_1115_1449,0.5
2010_1115_1452,0.5
2010_1115_1457,0.5
2010_1115_1458,0.5
2010_1115_1459,0.5
2010_1115_1462,0.5
2010_1124_1139,0.5
2010_1124_1140,0.5
2010_1124_1143,0.5
2010_1124_1155,0.5
2010_1124_1165,0.5
2010_1124_1181,0.5
2010_1124_1190,0.5
2010_1124_1196,0.5
2010_1124_1199,0.5
2010_1124_1207,0.5
2010_1124_1210,0.5
2010_1124_1211,0.5
2010_1124_1222,0.5
2010_1124_1242,0.5
2010_1124_1243,0.5
2010_1124_1246,0.5
2010_1124_1250,0.5
2010_1124_1257,0.5
2010_1124_1266,0.5
2010_1124_1268,0.5
2010_1124_1277,0.5
2010_1124_1278,0.5
2010_1124_1281,0.5
2010_1124_1285,0.5
2010_1124_1288,0.5
2010_1124_1293,0.5
2010_1124_1307,0.5
2010_1124_1308,0.5
2010_1124_1317,0.5
2010_1124_1320,0.5
2010_1124_1323,0.5
2010_1124_1324,0.5
2010_1124_1325,0.5
2010_1124_1326,0.5
2010_1124_1329,0.5
2010_1124_1330,0.5
2010_1124_1338,0.5
2010_1124_1345,0.5
2010_1124_1350,0.5
2010_1124_1352,0.5
2010_1124_1358,0.5
2010_1124_1361,0.5
2010_1124_1364,0.5
2010_1124_1373,0.5
2010_1124_1388,0.5
2010_1124_1393,0.5
2010_1124_1396,0.5
2010_1124_1397,0.5
2010_1124_1400,0.5
2010_1124_1401,0.5
2010_1124_1424,0.5
2010_1124_1429,0.5
2010_1124_1431,0.5
2010_1124_1435,0.5
2010_1124_1436,0.5
2010_1124_1437,0.5
2010_1124_1448,0.5
2010_1124_1449,0.5
2010_1124_1452,0.5
2010_1124_1457,0.5
2010_1124_1458,0.5
2010_1124_1459,0.5
2010_1124_1462,0.5
2010_1139_1140,0.5
2010_1139_1143,0.5
2010_1139_1155,0.5
2010_1139_1165,0.5
2010_1139_1181,0.5
2010_1139_1190,0.5
2010_1139_1196,0.5
2010_1139_1199,0.5
2010_1139_1207,0.5
2010_1139_1210,0.5
2010_1139_1211,0.5
2010_1139_1222,0.5
2010_1139_1242,0.5
2010_1139_1243,0.5
2010_1139_1246,0.5
