Id,WL
2008_1110_1112,-1
2008_1110_1116,-1
2008_1110_1122,-1
2008_1110_1124,-1
2008_1110_1125,-1
2008_1110_1129,-1
2008_1110_1139,-1
2008_1110_1140,-1
2008_1110_1155,-1
2008_1110_1163,-1
2008_1110_1164,-1
2008_1110_1165,-1
2008_1110_1168,-1
2008_1110_1172,-1
2008_1110_1179,-1
2008_1110_1181,-1
2008_1110_1206,-1
2008_1110_1207,-1
2008_1110_1208,-1
2008_1110_1211,-1
2008_1110_1231,-1
2008_1110_1242,-1
2008_1110_1243,-1
2008_1110_1245,-1
2008_1110_1246,-1
2008_1110_1257,-1
2008_1110_1266,-1
2008_1110_1272,-1
2008_1110_1274,-1
2008_1110_1277,-1
2008_1110_1280,-1
2008_1110_1290,-1
2008_1110_1291,-1
2008_1110_1314,-1
2008_1110_1323,-1
2008_1110_1328,-1
2008_1110_1331,-1
2008_1110_1332,-1
2008_1110_1338,-1
2008_1110_1340,-1
2008_1110_1345,-1
2008_1110_1360,-1
2008_1110_1373,-1
2008_1110_1375,-1
2008_1110_1386,-1
2008_1110_1388,-1
2008_1110_1390,-1
2008_1110_1396,-1
2008_1110_1397,0
2008_1110_1400,-1
2008_1110_1401,-1
2008_1110_1417,-1
2008_1110_1420,-1
2008_1110_1424,-1
2008_1110_1425,-1
2008_1110_1426,-1
2008_1110_1435,-1
2008_1110_1437,-1
2008_1110_1443,-1
2008_1110_1450,-1
2008_1110_1452,-1
2008_1110_1457,-1
2008_1110_1458,-1
2008_1110_1462,-1
2008_1112_1116,-1
2008_1112_1122,-1
2008_1112_1124,-1
2008_1112_1125,-1
2008_1112_1129,-1
2008_1112_1139,-1
2008_1112_1140,-1
2008_1112_1155,-1
2008_1112_1163,-1
2008_1112_1164,-1
2008_1112_1165,-1
2008_1112_1168,-1
2008_1112_1172,-1
2008_1112_1179,-1
2008_1112_1181,-1
2008_1112_1206,-1
2008_1112_1207,-1
2008_1112_1208,-1
2008_1112_1211,-1
2008_1112_1231,-1
2008_1112_1242,-1
2008_1112_1243,-1
2008_1112_1245,-1
2008_1112_1246,-1
2008_1112_1257,-1
2008_1112_1266,-1
2008_1112_1272,-1
2008_1112_1274,-1
2008_1112_1277,-1
2008_1112_1280,-1
2008_1112_1290,-1
2008_1112_1291,-1
2008_1112_1314,-1
2008_1112_1323,-1
2008_1112_1328,-1
2008_1112_1331,-1
2008_1112_1332,-1
2008_1112_1338,-1
2008_1112_1340,-1
2008_1112_1345,-1
2008_1112_1360,-1
2008_1112_1373,-1
2008_1112_1375,-1
2008_1112_1386,-1
2008_1112_1388,-1
2008_1112_1390,-1
2008_1112_1396,-1
2008_1112_1397,-1
2008_1112_1400,-1
2008_1112_1401,-1
2008_1112_1417,-1
2008_1112_1420,-1
2008_1112_1424,-1
2008_1112_1425,-1
2008_1112_1426,-1
2008_1112_1435,-1
2008_1112_1437,-1
2008_1112_1443,-1
2008_1112_1450,-1
2008_1112_1452,0
2008_1112_1457,-1
2008_1112_1458,-1
2008_1112_1462,-1
2008_1116_1122,-1
2008_1116_1124,-1
2008_1116_1125,-1
2008_1116_1129,-1
2008_1116_1139,-1
2008_1116_1140,-1
2008_1116_1155,-1
2008_1116_1163,-1
2008_1116_1164,-1
2008_1116_1165,-1
2008_1116_1168,-1
2008_1116_1172,-1
2008_1116_1179,-1
2008_1116_1181,-1
2008_1116_1206,-1
2008_1116_1207,-1
2008_1116_1208,-1
2008_1116_1211,-1
2008_1116_1231,1
2008_1116_1242,-1
2008_1116_1243,-1
2008_1116_1245,-1
2008_1116_1246,-1
2008_1116_1257,-1
2008_1116_1266,-1
2008_1116_1272,-1
2008_1116_1274,-1
2008_1116_1277,-1
2008_1116_1280,-1
2008_1116_1290,-1
2008_1116_1291,-1
2008_1116_1314,0
2008_1116_1323,-1
2008_1116_1328,-1
2008_1116_1331,-1
2008_1116_1332,-1
2008_1116_1338,-1
2008_1116_1340,-1
2008_1116_1345,-1
2008_1116_1360,-1
2008_1116_1373,-1
2008_1116_1375,-1
2008_1116_1386,-1
2008_1116_1388,-1
2008_1116_1390,-1
2008_1116_1396,-1
2008_1116_1397,-1
2008_1116_1400,-1
2008_1116_1401,-1
2008_1116_1417,-1
2008_1116_1420,-1
2008_1116_1424,-1
2008_1116_1425,-1
2008_1116_1426,-1
2008_1116_1435,-1
2008_1116_1437,-1
2008_1116_1443,-1
2008_1116_1450,-1
2008_1116_1452,-1
2008_1116_1457,-1
2008_1116_1458,-1
2008_1116_1462,-1
2008_1122_1124,-1
2008_1122_1125,-1
2008_1122_1129,-1
2008_1122_1139,-1
2008_1122_1140,-1
2008_1122_1155,-1
2008_1122_1163,-1
2008_1122_1164,-1
2008_1122_1165,-1
2008_1122_1168,-1
2008_1122_1172,-1
2008_1122_1179,-1
2008_1122_1181,-1
2008_1122_1206,-1
2008_1122_1207,-1
2008_1122_1208,-1
2008_1122_1211,-1
2008_1122_1231,-1
2008_1122_1242,-1
2008_1122_1243,-1
2008_1122_1245,-1
2008_1122_1246,-1
2008_1122_1257,-1
2008_1122_1266,-1
2008_1122_1272,-1
2008_1122_1274,-1
2008_1122_1277,-1
2008_1122_1280,-1
2008_1122_1290,-1
2008_1122_1291,-1
2008_1122_1314,-1
2008_1122_1323,-1
2008_1122_1328,-1
2008_1122_1331,-1
2008_1122_1332,-1
2008_1122_1338,-1
2008_1122_1340,-1
2008_1122_1345,-1
2008_1122_1360,-1
2008_1122_1373,-1
2008_1122_1375,-1
2008_1122_1386,-1
2008_1122_1388,-1
2008_1122_1390,-1
2008_1122_1396,-1
2008_1122_1397,-1
2008_1122_1400,0
2008_1122_1401,-1
2008_1122_1417,-1
2008_1122_1420,-1
2008_1122_1424,-1
2008_1122_1425,-1
2008_1122_1426,-1
2008_1122_1435,-1
2008_1122_1437,-1
2008_1122_1443,-1
2008_1122_1450,-1
2008_1122_1452,-1
2008_1122_1457,-1
2008_1122_1458,-1
2008_1122_1462,-1
2008_1124_1125,-1
2008_1124_1129,-1
2008_1124_1139,-1
2008_1124_1140,-1
2008_1124_1155,-1
2008_1124_1163,-1
2008_1124_1164,-1
2008_1124_1165,-1
2008_1124_1168,-1
2008_1124_1172,-1
2008_1124_1179,-1
2008_1124_1181,-1
2008_1124_1206,-1
2008_1124_1207,-1
2008_1124_1208,-1
2008_1124_1211,-1
2008_1124_1231,-1
2008_1124_1242,-1
2008_1124_1243,-1
2008_1124_1245,-1
2008_1124_1246,-1
2008_1124_1257,-1
2008_1124_1266,-1
2008_1124_1272,-1
2008_1124_1274,-1
2008_1124_1277,-1
2008_1124_1280,-1
2008_1124_1290,-1
2008_1124_1291,-1
2008_1124_1314,-1
2008_1124_1323,-1
2008_1124_1328,-1
2008_1124_1331,-1
2008_1124_1332,-1
2008_1124_1338,-1
2008_1124_1340,-1
2008_1124_1345,0
2008_1124_1360,-1
2008_1124_1373,-1
2008_1124_1375,-1
2008_1124_1386,-1
2008_1124_1388,-1
2008_1124_1390,-1
2008_1124_1396,-1
2008_1124_1397,-1
2008_1124_1400,-1
2008_1124_1401,-1
2008_1124_1417,-1
2008_1124_1420,-1
2008_1124_1424,-1
2008_1124_1425,-1
2008_1124_1426,-1
2008_1124_1435,-1
2008_1124_1437,-1
2008_1124_1443,-1
2008_1124_1450,-1
2008_1124_1452,-1
2008_1124_1457,-1
2008_1124_1458,-1
2008_1124_1462,-1
2008_1125_1129,-1
2008_1125_1139,-1
2008_1125_1140,-1
2008_1125_1155,-1
2008_1125_1163,-1
2008_1125_1164,-1
2008_1125_1165,-1
2008_1125_1168,-1
2008_1125_1172,-1
2008_1125_1179,-1
2008_1125_1181,0
2008_1125_1206,-1
2008_1125_1207,-1
2008_1125_1208,-1
2008_1125_1211,-1
2008_1125_1231,-1
2008_1125_1242,-1
2008_1125_1243,-1
2008_1125_1245,-1
2008_1125_1246,-1
2008_1125_1257,-1
2008_1125_1266,-1
2008_1125_1272,-1
2008_1125_1274,-1
2008_1125_1277,-1
2008_1125_1280,-1
2008_1125_1290,-1
2008_1125_1291,-1
2008_1125_1314,-1
2008_1125_1323,-1
2008_1125_1328,-1
2008_1125_1331,-1
2008_1125_1332,-1
2008_1125_1338,-1
2008_1125_1340,-1
2008_1125_1345,-1
2008_1125_1360,-1
2008_1125_1373,-1
2008_1125_1375,-1
2008_1125_1386,-1
2008_1125_1388,-1
2008_1125_1390,-1
2008_1125_1396,-1
2008_1125_1397,-1
2008_1125_1400,-1
2008_1125_1401,-1
2008_1125_1417,-1
2008_1125_1420,-1
2008_1125_1424,-1
2008_1125_1425,-1
2008_1125_1426,-1
2008_1125_1435,-1
2008_1125_1437,-1
2008_1125_1443,-1
2008_1125_1450,-1
2008_1125_1452,-1
2008_1125_1457,-1
2008_1125_1458,-1
2008_1125_1462,-1
2008_1129_1139,-1
2008_1129_1140,-1
2008_1129_1155,-1
2008_1129_1163,-1
2008_1129_1164,-1
2008_1129_1165,-1
2008_1129_1168,-1
2008_1129_1172,-1
2008_1129_1179,-1
2008_1129_1181,-1
2008_1129_1206,-1
2008_1129_1207,-1
2008_1129_1208,-1
2008_1129_1211,-1
2008_1129_1231,-1
2008_1129_1242,-1
2008_1129_1243,-1
2008_1129_1245,-1
2008_1129_1246,-1
2008_1129_1257,0
2008_1129_1266,-1
2008_1129_1272,-1
2008_1129_1274,-1
2008_1129_1277,-1
2008_1129_1280,-1
2008_1129_1290,-1
2008_1129_1291,-1
2008_1129_1314,-1
2008_1129_1323,-1
2008_1129_1328,-1
2008_1129_1331,-1
2008_1129_1332,-1
2008_1129_1338,-1
2008_1129_1340,-1
2008_1129_1345,-1
2008_1129_1360,-1
2008_1129_1373,-1
2008_1129_1375,-1
2008_1129_1386,-1
2008_1129_1388,-1
2008_1129_1390,-1
2008_1129_1396,-1
2008_1129_1397,-1
2008_1129_1400,-1
2008_1129_1401,-1
2008_1129_1417,-1
2008_1129_1420,-1
2008_1129_1424,-1
2008_1129_1425,-1
2008_1129_1426,-1
2008_1129_1435,-1
2008_1129_1437,-1
2008_1129_1443,-1
2008_1129_1450,-1
2008_1129_1452,-1
2008_1129_1457,-1
2008_1129_1458,-1
2008_1129_1462,-1
2008_1139_1140,-1
2008_1139_1155,-1
2008_1139_1163,-1
2008_1139_1164,-1
2008_1139_1165,-1
2008_1139_1168,-1
2008_1139_1172,-1
2008_1139_1179,-1
2008_1139_1181,-1
2008_1139_1206,-1
2008_1139_1207,-1
2008_1139_1208,-1
2008_1139_1211,-1
2008_1139_1231,-1
2008_1139_1242,-1
2008_1139_1243,-1
2008_1139_1245,-1
2008_1139_1246,-1
2008_1139_1257,-1
2008_1139_1266,-1
2008_1139_1272,-1
2008_1139_1274,-1
2008_1139_1277,-1
2008_1139_1280,-1
2008_1139_1290,-1
2008_1139_1291,-1
2008_1139_1314,-1
2008_1139_1323,-1
2008_1139_1328,-1
2008_1139_1331,-1
2008_1139_1332,-1
2008_1139_1338,-1
2008_1139_1340,-1
2008_1139_1345,-1
2008_1139_1360,-1
2008_1139_1373,-1
2008_1139_1375,1
2008_1139_1386,-1
2008_1139_1388,-1
2008_1139_1390,-1
2008_1139_1396,-1
2008_1139_1397,0
2008_1139_1400,-1
2008_1139_1401,-1
2008_1139_1417,-1
2008_1139_1420,-1
2008_1139_1424,-1
2008_1139_1425,-1
2008_1139_1426,-1
2008_1139_1435,-1
2008_1139_1437,-1
2008_1139_1443,-1
2008_1139_1450,-1
2008_1139_1452,-1
2008_1139_1457,-1
2008_1139_1458,-1
2008_1139_1462,-1
2008_1140_1155,-1
2008_1140_1163,-1
2008_1140_1164,-1
2008_1140_1165,-1
2008_1140_1168,-1
2008_1140_1172,-1
2008_1140_1179,-1
2008_1140_1181,-1
2008_1140_1206,-1
2008_1140_1207,-1
2008_1140_1208,-1
2008_1140_1211,-1
2008_1140_1231,-1
2008_1140_1242,-1
2008_1140_1243,-1
2008_1140_1245,-1
2008_1140_1246,-1
2008_1140_1257,-1
2008_1140_1266,-1
2008_1140_1272,-1
2008_1140_1274,-1
2008_1140_1277,-1
2008_1140_1280,-1
2008_1140_1290,-1
2008_1140_1291,-1
2008_1140_1314,-1
2008_1140_1323,-1
2008_1140_1328,-1
2008_1140_1331,-1
2008_1140_1332,-1
2008_1140_1338,-1
2008_1140_1340,-1
2008_1140_1345,-1
2008_1140_1360,-1
2008_1140_1373,-1
2008_1140_1375,-1
2008_1140_1386,-1
2008_1140_1388,-1
2008_1140_1390,-1
2008_1140_1396,-1
2008_1140_1397,-1
2008_1140_1400,-1
2008_1140_1401,0
2008_1140_1417,-1
2008_1140_1420,-1
2008_1140_1424,-1
2008_1140_1425,-1
2008_1140_1426,-1
2008_1140_1435,-1
2008_1140_1437,-1
2008_1140_1443,-1
2008_1140_1450,-1
2008_1140_1452,-1
2008_1140_1457,-1
2008_1140_1458,-1
2008_1140_1462,-1
2008_1155_1163,-1
2008_1155_1164,-1
2008_1155_1165,-1
2008_1155_1168,-1
2008_1155_1172,-1
2008_1155_1179,-1
2008_1155_1181,-1
2008_1155_1206,-1
2008_1155_1207,-1
2008_1155_1208,-1
2008_1155_1211,-1
2008_1155_1231,-1
2008_1155_1242,-1
2008_1155_1243,-1
2008_1155_1245,-1
2008_1155_1246,-1
2008_1155_1257,-1
2008_1155_1266,-1
2008_1155_1272,-1
2008_1155_1274,-1
2008_1155_1277,-1
2008_1155_1280,-1
2008_1155_1290,-1
2008_1155_1291,-1
2008_1155_1314,-1
2008_1155_1323,-1
2008_1155_1328,-1
2008_1155_1331,-1
2008_1155_1332,-1
2008_1155_1338,-1
2008_1155_1340,-1
2008_1155_1345,-1
2008_1155_1360,-1
2008_1155_1373,-1
2008_1155_1375,-1
2008_1155_1386,-1
2008_1155_1388,-1
2008_1155_1390,-1
2008_1155_1396,-1
2008_1155_1397,-1
2008_1155_1400,-1
2008_1155_1401,-1
2008_1155_1417,-1
2008_1155_1420,-1
2008_1155_1424,-1
2008_1155_1425,-1
2008_1155_1426,-1
2008_1155_1435,-1
2008_1155_1437,0
2008_1155_1443,-1
2008_1155_1450,-1
2008_1155_1452,-1
2008_1155_1457,-1
2008_1155_1458,-1
2008_1155_1462,-1
2008_1163_1164,-1
2008_1163_1165,-1
2008_1163_1168,-1
2008_1163_1172,-1
2008_1163_1179,-1
2008_1163_1181,-1
2008_1163_1206,-1
2008_1163_1207,-1
2008_1163_1208,-1
2008_1163_1211,-1
2008_1163_1231,-1
2008_1163_1242,-1
2008_1163_1243,-1
2008_1163_1245,-1
2008_1163_1246,-1
2008_1163_1257,-1
2008_1163_1266,-1
2008_1163_1272,-1
2008_1163_1274,-1
2008_1163_1277,-1
2008_1163_1280,-1
2008_1163_1290,-1
2008_1163_1291,-1
2008_1163_1314,-1
2008_1163_1323,-1
2008_1163_1328,-1
2008_1163_1331,-1
2008_1163_1332,-1
2008_1163_1338,-1
2008_1163_1340,-1
2008_1163_1345,-1
2008_1163_1360,0
2008_1163_1373,-1
2008_1163_1375,-1
2008_1163_1386,-1
2008_1163_1388,-1
2008_1163_1390,-1
2008_1163_1396,-1
2008_1163_1397,-1
2008_1163_1400,-1
2008_1163_1401,-1
2008_1163_1417,-1
2008_1163_1420,-1
2008_1163_1424,-1
2008_1163_1425,-1
2008_1163_1426,-1
2008_1163_1435,-1
2008_1163_1437,-1
2008_1163_1443,-1
2008_1163_1450,-1
2008_1163_1452,-1
2008_1163_1457,-1
2008_1163_1458,-1
2008_1163_1462,-1
2008_1164_1165,-1
2008_1164_1168,-1
2008_1164_1172,-1
2008_1164_1179,-1
2008_1164_1181,-1
2008_1164_1206,-1
2008_1164_1207,-1
2008_1164_1208,-1
2008_1164_1211,-1
2008_1164_1231,-1
2008_1164_1242,-1
2008_1164_1243,-1
2008_1164_1245,-1
2008_1164_1246,-1
2008_1164_1257,-1
2008_1164_1266,-1
2008_1164_1272,-1
2008_1164_1274,-1
2008_1164_1277,-1
2008_1164_1280,-1
2008_1164_1290,-1
2008_1164_1291,0
2008_1164_1314,-1
2008_1164_1323,-1
2008_1164_1328,-1
2008_1164_1331,-1
2008_1164_1332,-1
2008_1164_1338,-1
2008_1164_1340,-1
2008_1164_1345,-1
2008_1164_1360,-1
2008_1164_1373,-1
2008_1164_1375,-1
2008_1164_1386,-1
2008_1164_1388,-1
2008_1164_1390,-1
2008_1164_1396,-1
2008_1164_1397,-1
2008_1164_1400,-1
2008_1164_1401,-1
2008_1164_1417,-1
2008_1164_1420,-1
2008_1164_1424,-1
2008_1164_1425,-1
2008_1164_1426,-1
2008_1164_1435,-1
2008_1164_1437,-1
2008_1164_1443,-1
2008_1164_1450,-1
2008_1164_1452,-1
2008_1164_1457,-1
2008_1164_1458,-1
2008_1164_1462,-1
2008_1165_1168,-1
2008_1165_1172,-1
2008_1165_1179,-1
2008_1165_1181,-1
2008_1165_1206,-1
2008_1165_1207,-1
2008_1165_1208,-1
2008_1165_1211,-1
2008_1165_1231,-1
2008_1165_1242,-1
2008_1165_1243,-1
2008_1165_1245,-1
2008_1165_1246,-1
2008_1165_1257,-1
2008_1165_1266,-1
2008_1165_1272,-1
2008_1165_1274,-1
2008_1165_1277,-1
2008_1165_1280,-1
2008_1165_1290,-1
2008_1165_1291,-1
2008_1165_1314,-1
2008_1165_1323,-1
2008_1165_1328,-1
2008_1165_1331,-1
2008_1165_1332,-1
2008_1165_1338,-1
2008_1165_1340,-1
2008_1165_1345,-1
2008_1165_1360,-1
2008_1165_1373,-1
2008_1165_1375,-1
2008_1165_1386,-1
2008_1165_1388,-1
2008_1165_1390,0
2008_1165_1396,-1
2008_1165_1397,-1
2008_1165_1400,-1
2008_1165_1401,-1
2008_1165_1417,-1
2008_1165_1420,-1
2008_1165_1424,-1
2008_1165_1425,-1
2008_1165_1426,-1
2008_1165_1435,-1
2008_1165_1437,-1
2008_1165_1443,-1
2008_1165_1450,-1
2008_1165_1452,-1
2008_1165_1457,-1
2008_1165_1458,-1
2008_1165_1462,-1
2008_1168_1172,-1
2008_1168_1179,-1
2008_1168_1181,-1
2008_1168_1206,-1
2008_1168_1207,-1
2008_1168_1208,-1
2008_1168_1211,-1
2008_1168_1231,-1
2008_1168_1242,-1
2008_1168_1243,-1
2008_1168_1245,-1
2008_1168_1246,-1
2008_1168_1257,-1
2008_1168_1266,-1
2008_1168_1272,-1
2008_1168_1274,-1
2008_1168_1277,-1
2008_1168_1280,-1
2008_1168_1290,-1
2008_1168_1291,-1
2008_1168_1314,-1
2008_1168_1323,-1
2008_1168_1328,-1
2008_1168_1331,-1
2008_1168_1332,-1
2008_1168_1338,-1
2008_1168_1340,-1
2008_1168_1345,-1
2008_1168_1360,-1
2008_1168_1373,-1
2008_1168_1375,-1
2008_1168_1386,-1
2008_1168_1388,-1
2008_1168_1390,-1
2008_1168_1396,-1
2008_1168_1397,-1
2008_1168_1400,-1
2008_1168_1401,-1
2008_1168_1417,-1
2008_1168_1420,-1
2008_1168_1424,-1
2008_1168_1425,-1
2008_1168_1426,-1
2008_1168_1435,-1
2008_1168_1437,-1
2008_1168_1443,-1
2008_1168_1450,-1
2008_1168_1452,-1
2008_1168_1457,-1
2008_1168_1458,0
2008_1168_1462,-1
2008_1172_1179,-1
2008_1172_1181,-1
2008_1172_1206,-1
2008_1172_1207,1
2008_1172_1208,-1
2008_1172_1211,1
2008_1172_1231,-1
2008_1172_1242,0
2008_1172_1243,-1
2008_1172_1245,-1
2008_1172_1246,-1
2008_1172_1257,-1
2008_1172_1266,-1
2008_1172_1272,-1
2008_1172_1274,-1
2008_1172_1277,-1
2008_1172_1280,-1
2008_1172_1290,-1
2008_1172_1291,-1
2008_1172_1314,-1
2008_1172_1323,-1
2008_1172_1328,-1
2008_1172_1331,-1
2008_1172_1332,-1
2008_1172_1338,-1
2008_1172_1340,-1
2008_1172_1345,-1
2008_1172_1360,-1
2008_1172_1373,-1
2008_1172_1375,-1
2008_1172_1386,-1
2008_1172_1388,-1
2008_1172_1390,-1
2008_1172_1396,-1
2008_1172_1397,-1
2008_1172_1400,-1
2008_1172_1401,-1
2008_1172_1417,-1
2008_1172_1420,-1
2008_1172_1424,-1
2008_1172_1425,-1
2008_1172_1426,-1
2008_1172_1435,-1
2008_1172_1437,-1
2008_1172_1443,-1
2008_1172_1450,-1
2008_1172_1452,-1
2008_1172_1457,-1
2008_1172_1458,1
2008_1172_1462,-1
2008_1179_1181,-1
2008_1179_1206,-1
2008_1179_1207,-1
2008_1179_1208,-1
2008_1179_1211,-1
2008_1179_1231,-1
2008_1179_1242,-1
2008_1179_1243,-1
2008_1179_1245,-1
2008_1179_1246,-1
2008_1179_1257,-1
2008_1179_1266,-1
2008_1179_1272,-1
