Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,SOS OppO,SOS OppD,NCSOS AdjEM
1,Gonzaga,WCC,34-1,32.28,119.7,87.4,70.2,0.02,0.72,105.4,104.7,1.07
2,Villanova,BE,32-4,30.0,122.8,92.8,63.9,0.01,9.5,110.1,100.6,3.7
3,Florida,SEC,26-8,27.99,116.6,88.7,68.7,-0.045,11.71,110.4,98.6,8.29
4,North Carolina,ACC,29-7,27.38,121.3,93.9,70.8,0.01,10.81,111.5,100.7,3.87
5,Kentucky,SEC,31-5,27.17,119.1,91.9,72.3,0.019,9.95,110.0,100.0,3.77
6,West Virginia,B12,28-8,27.02,117.3,90.3,70.0,-0.03,10.11,110.0,99.9,-7.83
7,Kansas,B12,30-4,27.0,121.9,94.9,70.3,0.068,11.68,111.1,99.4,2.43
8,Wichita St,MVC,31-5,26.09,119.0,92.9,67.8,-0.021,1.54,105.3,103.8,-0.3
9,Louisville,ACC,25-9,25.53,117.5,92.0,67.8,-0.023,11.27,112.0,100.7,4.43
10,Baylor,B12,27-7,25.25,118.3,93.0,63.4,0.009,12.62,111.9,99.3,1.68
11,SMU,Amer,30-5,24.72,120.1,95.3,63.3,0.003,3.29,105.6,102.3,-0.98
12,Purdue,B10,27-7,24.54,117.7,93.1,69.0,-0.01,8.55,109.6,101.1,-2.31
13,Virginia,ACC,23-11,24.27,112.5,88.3,59.0,-0.03,11.73,111.8,100.0,2.42
14,UCLA,P12,31-4,24.05,124.2,100.2,72.8,0.023,4.51,107.9,103.4,-4.56
15,Duke,ACC,28-9,24.03,121.3,97.2,68.1,0.014,11.38,111.3,99.9,0.12
16,Oregon,P12,31-5,23.92,118.8,94.9,66.7,0.043,6.48,108.4,101.9,0.47
17,St Mary's CA,WCC,29-5,23.7,119.0,95.3,60.0,0.03,0.47,104.7,104.3,-4.26
18,Arizona,P12,32-4,23.6,118.5,94.9,66.0,0.062,6.87,108.8,101.9,1.78
19,Iowa St,B12,24-11,23.28,119.9,96.6,68.2,-0.019,13.93,112.9,99.0,-0.61
20,Michigan,B10,26-11,23.2,123.1,99.9,62.7,-0.011,10.58,110.4,99.8,-0.46
21,Wisconsin,B10,27-9,23.01,114.9,91.9,63.2,0.013,9.64,110.8,101.2,-1.32
22,Oklahoma St,B12,20-13,22.24,126.1,103.8,70.2,-0.071,14.26,112.3,98.0,2.87
23,Cincinnati,Amer,30-6,22.23,115.3,93.1,63.4,0.026,4.29,107.4,103.2,-0.33
24,Butler,BE,25-8,21.16,117.9,96.8,65.6,0.004,10.41,110.8,100.4,5.22
25,Florida St,ACC,26-9,20.07,115.8,95.8,71.1,0.039,8.92,110.9,102.0,-3.82
26,Notre Dame,ACC,26-10,19.74,118.4,98.6,66.9,0.024,10.33,110.4,100.1,-3.76
27,Creighton,BE,25-10,18.91,115.7,96.8,71.0,0.004,9.11,110.6,101.5,-1.15
28,South Carolina,SEC,24-10,18.61,107.5,88.9,68.5,0.003,9.04,109.7,100.7,1.94
29,Kansas St,B12,21-14,17.33,113.3,95.9,66.0,-0.029,11.49,110.9,99.4,-5.18
30,Xavier,BE,23-13,16.93,116.1,99.2,67.0,0.03,10.99,111.2,100.2,5.4
31,Marquette,BE,19-13,16.54,121.1,104.6,69.9,-0.058,9.07,109.4,100.3,-2.15
32,Vanderbilt,SEC,19-16,16.4,112.8,96.4,65.6,-0.048,11.36,110.3,98.9,6.43
33,Wake Forest,ACC,19-14,16.24,121.2,105.0,70.5,-0.044,10.61,111.4,100.8,4.7
34,Rhode Island,A10,25-10,16.24,111.7,95.5,66.2,-0.033,4.33,107.1,102.8,1.68
35,Minnesota,B10,24-10,16.17,110.1,93.9,69.4,0.022,8.32,109.3,101.0,-1.65
36,Arkansas,SEC,26-10,16.06,116.3,100.2,69.6,0.086,8.31,108.8,100.5,-1.37
37,Northwestern,B10,24-12,16.01,111.7,95.7,65.4,0.019,8.57,109.4,100.8,-3.22
38,TCU,B12,22-15,15.8,113.9,98.1,66.8,-0.005,11.41,111.4,99.9,-3.14
39,Michigan St,B10,20-15,15.72,111.8,96.1,66.7,-0.011,11.27,111.0,99.7,4.19
